File_ID,File_Size_MB,File_Type,Last_Accessed_Days_Ago,Number_of_Accesses,Noise_Level_Percent
File_155,3764,document,282,160,0.97
File_156,1854,audio,176,176,0.42
File_157,4660,document,97,284,1.63
File_158,1292,document,104,62,2.8
File_159,3582,audio,98,661,0.58
File_160,3458,image,310,665,1.88
File_161,1637,document,5,155,0.05
File_162,3697,software,196,881,4.09
File_163,3000,document,350,468,0.64
File_164,3153,video,132,48,1.42
File_165,699,video,357,966,0.09
File_166,2161,software,258,848,2.16
File_167,4098,software,22,83,4.2
File_168,4738,audio,52,360,1.96
File_169,855,image,164,688,0.9
File_170,3475,video,201,147,3.77
File_171,1708,video,82,629,3.94
File_172,2778,document,144,341,0.87
File_173,1734,document,84,475,3.85
File_174,4932,software,77,62,4.74
File_175,3511,audio,365,700,0.83
File_176,203,document,0,359,3.85
File_177,3256,software,50,560,3.54
File_178,4219,audio,172,326,2.37
File_179,4497,video,204,768,0.29
File_180,767,document,259,735,0.37
File_181,4390,audio,287,140,4.26
File_182,2328,audio,33,989,4.95
File_183,2932,software,347,214,3.38
File_184,198,video,94,434,2.23
File_185,1931,software,71,890,3.24
File_186,3583,image,38,951,2.97
File_187,609,document,153,722,1.92
File_188,3273,audio,249,317,0.33
File_189,1148,audio,161,31,4.11
File_190,4283,video,117,669,1.86
File_191,3398,software,258,284,4.09
File_192,2512,document,305,304,1.26
File_193,1795,software,267,428,0.01
File_194,660,software,53,476,0.79
File_195,2812,software,235,285,2.34
File_196,1370,document,221,143,4.72
File_197,1987,image,250,423,0.51
File_198,147,video,312,18,4.27
File_199,3220,document,111,17,2.64
File_200,2912,audio,254,768,4.13
File_201,1735,image,302,589,1.49
File_202,1844,software,206,370,4.2
File_203,489,document,228,174,3.86
File_204,2977,document,340,193,1.15
File_205,1960,audio,65,501,0.66
File_206,2386,software,74,987,4.34
File_207,2920,document,102,112,4.82
File_208,4737,software,191,113,0.16
File_209,1803,image,251,221,3.66
File_210,4062,software,225,677,4.55
File_211,3370,document,293,946,4.29
File_212,263,video,305,830,4.82
File_213,624,video,97,643,3.8
File_214,1017,audio,337,896,2.21
File_215,3644,software,285,263,1.56
File_216,4977,image,334,924,1.6
File_217,2050,audio,346,54,3.62
File_218,3724,image,307,870,3.73
File_219,4549,image,248,642,1.0
File_220,3109,audio,165,799,4.34
File_221,4091,document,334,777,3.57
File_222,2057,image,29,457,2.81
File_223,3171,software,246,978,2.36
File_224,1683,image,105,877,2.72
File_225,2256,software,50,161,0.8
File_226,1155,image,80,379,1.02
File_227,4500,image,132,992,0.46
File_228,3192,software,284,86,0.77
File_229,1697,audio,137,54,2.27
File_230,3992,image,183,475,2.65
File_231,4724,image,329,799,0.09
File_232,4683,image,272,177,3.98
File_233,1649,software,339,390,1.47
File_234,1446,video,68,348,4.56
File_235,4200,image,33,7,4.84
File_236,3924,image,261,832,0.93
File_237,254,video,52,312,2.31
File_238,3184,image,204,758,0.01
File_239,2558,image,125,834,2.99
File_240,99,document,234,983,3.04
File_241,2201,document,42,982,1.24
File_242,2962,software,239,442,2.79
File_243,4974,software,110,766,1.13
File_244,4434,audio,248,327,0.8
File_245,3778,video,150,53,3.26
File_246,2870,audio,182,760,1.63
File_247,3235,document,335,238,2.95
File_248,3792,document,94,228,2.17
File_249,957,document,7,578,4.92
File_250,4068,document,359,50,0.75
File_251,161,video,183,608,2.32
File_252,4494,image,280,603,3.4
File_253,1301,image,194,263,1.98
File_254,4912,software,351,417,4.87
File_255,3988,software,194,802,3.61
File_256,1528,audio,154,95,3.28
File_257,1219,video,92,87,3.79
File_258,4497,audio,159,77,4.76
File_259,4736,video,60,287,4.54
File_260,3105,document,121,119,3.62
File_261,2736,document,50,813,3.75
File_262,4556,document,276,490,0.73
File_263,955,video,4,911,0.51
File_264,4566,software,91,451,2.85
File_265,3447,image,169,499,0.09
File_266,1046,software,316,164,2.41
File_267,1694,software,21,181,1.05
File_268,3437,video,325,468,1.73
File_269,563,software,0,909,3.88
File_270,2486,video,132,734,4.71
File_271,3355,document,232,822,0.36
File_272,226,document,11,943,2.67
File_273,4894,video,345,977,4.41
File_274,960,image,45,6,0.41
File_275,4549,video,33,329,4.12
File_276,3068,software,77,774,1.79
File_277,816,document,217,672,1.61
File_278,4755,software,300,150,4.89
File_279,4643,image,72,84,1.0
File_280,3121,audio,281,146,3.47
File_281,17,image,248,623,4.11
File_282,1244,audio,46,380,0.21
File_283,2206,image,120,914,3.35
File_284,2525,image,213,547,4.76
File_285,1070,audio,238,284,0.62
File_286,3445,document,55,699,4.48
File_287,2566,image,349,81,2.97
File_288,1061,document,106,513,3.08
File_289,2328,audio,318,896,3.06
File_290,3421,image,47,814,1.49
File_291,302,audio,60,708,4.68
File_292,4277,document,336,915,4.74
File_293,607,document,25,522,3.13
File_294,3171,audio,291,745,3.92
File_295,700,document,256,385,3.06
File_296,1140,software,7,706,2.42
File_297,191,image,112,470,3.3
File_298,2301,image,354,118,2.77
File_299,981,document,252,395,2.99
File_300,2976,software,179,531,3.92
File_301,1185,video,206,260,2.4
File_302,3328,document,302,804,0.2
File_303,3395,audio,126,933,0.82
File_304,128,document,55,255,2.19
File_305,2066,document,213,733,3.62
File_306,1817,audio,13,904,2.97
File_307,570,audio,27,225,3.25
File_308,1896,software,77,52,2.4
File_309,2734,video,215,939,3.08
File_310,3864,audio,364,866,1.65
File_311,4722,software,153,499,2.35
File_312,4015,audio,13,505,3.72
File_313,2902,audio,186,853,4.36
File_314,1687,document,311,363,2.17
File_315,3010,software,6,279,0.22
File_316,155,audio,2,592,0.81
File_317,2538,software,110,713,0.1
File_318,1410,document,237,157,3.27
File_319,4058,document,362,631,1.66
File_320,785,image,238,58,2.71
File_321,3176,image,273,726,2.47
File_322,4342,document,293,127,0.41
File_323,2807,audio,226,735,2.02
File_324,538,document,14,720,1.1
File_325,1842,software,191,881,2.09
File_326,2456,video,118,114,1.02
File_327,525,software,27,208,4.2
File_328,2951,audio,201,525,0.87
File_329,4132,document,38,520,4.8
File_330,4781,video,272,551,2.08
File_331,4116,audio,230,961,4.23
File_332,2369,video,85,236,3.14
File_333,3848,software,125,280,3.68
File_334,4496,document,299,358,3.84
File_335,2702,image,24,200,2.52
File_336,972,audio,144,757,2.72
File_337,1167,audio,12,277,2.57
File_338,4930,audio,211,234,2.94
File_339,2775,image,24,493,0.15
File_340,1983,video,67,3,1.98
File_341,854,document,66,665,3.03
File_342,4147,video,232,441,2.99
File_343,3737,video,108,28,3.96
File_344,3770,audio,145,108,3.28
File_345,575,software,110,609,4.96
File_346,3262,image,227,726,1.42
File_347,1149,image,110,804,1.8
File_348,1716,video,33,74,1.92
File_349,4778,document,110,837,2.33
File_350,4934,audio,263,145,4.18
File_351,3855,audio,235,127,1.18
File_352,2492,image,82,852,3.88
File_353,2661,audio,41,41,2.03
File_354,3125,document,100,355,3.01
File_355,3052,software,5,40,3.16
File_356,5,document,179,933,1.86
File_357,4870,document,281,33,2.56
File_358,877,image,319,16,2.07
File_359,992,video,225,676,0.35
File_360,4143,audio,314,152,2.19
File_361,4365,video,364,997,0.49
File_362,4466,video,228,377,2.03
File_363,636,video,288,587,2.96
File_364,1694,video,149,598,2.9
File_365,1683,audio,276,628,3.31
File_366,4753,document,197,873,0.48
File_367,120,video,69,341,3.26
File_368,831,image,111,980,1.56
File_369,3676,audio,3,26,2.0
File_370,1370,video,349,824,4.29
File_371,741,software,330,286,0.05
File_372,117,video,317,645,2.94
File_373,2839,image,349,730,2.99
File_374,1151,document,94,167,1.98
File_375,1932,document,151,609,1.19
File_376,1013,document,310,267,1.17
File_377,1665,image,136,748,4.42
File_378,1082,document,246,820,2.21
File_379,4730,document,242,454,1.65
File_380,513,document,30,905,2.24
File_381,2850,video,39,684,3.35
File_382,560,software,228,400,0.73
File_383,3673,video,35,921,2.25
File_384,4584,software,222,980,2.94
File_385,4993,software,5,475,4.74
File_386,3344,video,321,701,1.26
File_387,4071,software,219,633,1.8
File_388,4800,video,74,557,1.9
File_389,1471,image,3,575,3.03
File_390,581,audio,334,129,1.78
File_391,2295,image,133,821,2.67
File_392,3148,software,117,362,3.91
File_393,4250,audio,93,704,3.53
File_394,1680,image,61,818,2.23
File_395,3507,image,193,692,4.32
File_396,2745,image,334,291,2.79
File_397,3357,document,202,370,2.7
File_398,4046,document,25,793,0.17
File_399,1244,document,172,28,4.93
File_400,3119,image,299,148,0.61
File_401,2142,image,132,778,1.16
File_402,3060,document,325,295,0.26
File_403,4549,image,117,10,3.2
File_404,2960,document,323,511,1.12
File_405,2266,audio,274,675,0.9
File_406,2480,software,211,112,0.44
File_407,4647,image,224,186,0.52
File_408,1636,audio,19,806,2.92
File_409,1758,audio,112,743,3.44
File_410,4453,document,139,226,1.99
File_411,2071,document,46,309,2.4
File_412,2850,video,0,97,3.43
File_413,3252,software,89,54,0.09
File_414,3731,image,141,622,1.62
File_415,2490,audio,319,663,4.87
File_416,1632,software,37,757,2.9
File_417,2817,software,292,405,1.27
File_418,1016,document,138,68,2.61
File_419,1349,audio,355,311,1.71
File_420,4612,image,332,288,2.66
File_421,3088,software,258,761,0.63
File_422,2840,image,160,547,0.66
File_423,336,document,177,750,0.72
File_424,4593,image,9,147,4.7
File_425,896,video,260,466,3.66
File_426,3547,video,137,738,0.81
File_427,852,audio,171,243,0.94
File_428,1688,image,12,490,3.65
File_429,1932,audio,167,848,0.78
File_430,3747,video,129,957,1.17
File_431,2428,software,83,506,4.82
File_432,1569,audio,320,364,1.28
File_433,4001,audio,318,481,3.31
File_434,2739,image,100,200,4.89
File_435,3499,software,328,153,1.87
File_436,3914,image,272,449,0.09
File_437,1067,video,264,500,1.22
File_438,4381,audio,37,72,4.15
File_439,2445,software,93,712,4.32
File_440,4108,image,94,295,3.84
File_441,3374,video,304,16,0.57
File_442,3970,audio,68,640,3.98
File_443,2547,document,317,216,4.59
File_444,754,document,235,60,3.0
File_445,2083,image,333,938,4.7
File_446,2775,image,136,615,4.13
File_447,2897,software,75,41,3.33
File_448,4186,software,34,24,2.89
File_449,776,image,0,38,1.74
File_450,1626,document,295,802,0.8
File_451,3070,software,319,130,3.02
File_452,418,video,59,497,1.59
File_453,115,audio,319,228,4.33
File_454,617,document,348,107,4.97
File_455,3975,image,327,171,3.76
File_456,3268,software,266,434,0.45
File_457,826,software,360,477,1.44
File_458,1517,software,228,101,0.55
File_459,3147,audio,269,865,3.25
File_460,413,document,315,523,3.83
File_461,729,document,285,274,4.63
File_462,3349,software,290,612,2.19
File_463,2809,audio,212,43,4.51
File_464,676,video,164,954,4.39
File_465,3466,audio,4,816,1.59
File_466,2505,software,338,956,4.34
File_467,2968,audio,77,16,1.88
File_468,2787,audio,61,329,1.48
File_469,1123,image,131,568,3.25
File_470,4080,document,88,822,1.64
File_471,1572,software,236,496,3.15
File_472,2144,image,41,814,3.05
File_473,1688,audio,88,11,2.82
File_474,4133,image,295,317,1.9
File_475,3852,software,327,591,2.74
File_476,3441,image,294,215,2.98
File_477,3767,software,103,338,2.73
File_478,2327,document,13,775,2.22
File_479,2915,video,287,990,0.07
File_480,4969,image,178,660,2.94
File_481,3953,video,124,80,0.84
File_482,596,image,352,726,3.21
File_483,729,audio,22,484,3.8
File_484,1366,audio,62,373,2.5
File_485,4493,audio,142,975,2.71
File_486,699,document,152,709,4.76
File_487,396,audio,144,199,4.24
File_488,4172,document,224,536,4.57
File_489,4361,audio,308,465,4.07
File_490,2503,audio,103,88,0.54
File_491,1820,image,103,267,0.74
File_492,718,document,38,654,2.63
File_493,2783,document,197,570,1.23
File_494,4947,video,133,921,2.38
File_495,3578,document,66,488,1.97
File_496,144,document,178,876,2.75
File_497,4981,software,41,537,3.73
File_498,3141,video,14,46,3.58
File_499,4492,software,110,287,2.61
File_500,2939,video,156,777,4.11
